Date,Is_Weekend,Is_Festival,Checkpoint,Weather,Temperature_C,Time_Slot,Crowd_Density
2025-09-21,1,0,Lingaraj Temple,Cloudy,33,06:00,236
2025-07-01,0,0,Parsurameswara Temple,Humid,35,06:00,99
2025-10-24,0,0,Rajarani Temple,Humid,35,15:00,94
2025-12-05,0,0,Mukteswar Temple,Rainy,24,06:00,49
2025-07-28,0,0,Bindu Sagar,Cloudy,26,09:00,92
2025-02-04,0,0,Parsurameswara Temple,Cloudy,34,12:00,100
2025-10-31,0,0,Bindu Sagar,Clear,31,18:00,132
2025-05-22,0,0,Mukteswar Temple,Cloudy,33,09:00,28
2025-01-13,0,0,Lingaraj Temple,Cloudy,38,12:00,11
2025-09-19,0,0,Rajarani Temple,Humid,27,15:00,72
2025-01-28,0,0,Mukteswar Temple,Humid,35,18:00,86
2025-12-07,1,0,Parsurameswara Temple,Humid,27,12:00,159
2025-05-15,0,0,Lingaraj Temple,Humid,38,18:00,113
2025-01-20,0,0,Rajarani Temple,Rainy,25,15:00,38
2025-09-24,0,0,Mukteswar Temple,Cloudy,33,18:00,133
2025-10-19,1,0,Rajarani Temple,Clear,25,15:00,218
2025-01-28,0,0,Lingaraj Temple,Rainy,37,18:00,6
2025-09-20,1,0,Lingaraj Temple,Clear,37,15:00,142
2025-01-24,0,0,Bindu Sagar,Cloudy,30,09:00,95
2025-11-14,0,1,Mukteswar Temple,Cloudy,36,09:00,461
2025-02-05,0,0,Parsurameswara Temple,Clear,38,06:00,54
2025-11-23,1,0,Mukteswar Temple,Humid,22,15:00,115
2025-05-29,0,0,Bindu Sagar,Rainy,24,12:00,5
2025-10-11,1,0,Bindu Sagar,Humid,31,15:00,220
2025-08-16,1,0,Mukteswar Temple,Clear,28,12:00,134
2025-03-28,0,0,Mukteswar Temple,Clear,28,09:00,84
2025-04-10,0,0,Mukteswar Temple,Clear,38,12:00,32
2025-06-16,0,0,Bindu Sagar,Humid,28,09:00,52
2025-05-21,0,0,Bindu Sagar,Clear,37,18:00,82
2025-01-05,1,0,Parsurameswara Temple,Cloudy,40,15:00,156
2025-04-15,0,0,Rajarani Temple,Humid,26,18:00,111
2025-11-03,0,0,Rajarani Temple,Clear,23,12:00,89
2025-10-09,0,0,Bindu Sagar,Humid,26,12:00,50
2025-10-24,0,0,Mukteswar Temple,Rainy,28,15:00,5
2025-01-30,0,0,Mukteswar Temple,Humid,28,15:00,61
2025-07-15,0,0,Rajarani Temple,Cloudy,25,09:00,38
2025-12-03,0,0,Lingaraj Temple,Rainy,28,15:00,5
2025-10-24,0,0,Parsurameswara Temple,Rainy,29,18:00,25
2025-03-05,0,0,Lingaraj Temple,Humid,28,06:00,151
2025-09-10,0,0,Parsurameswara Temple,Cloudy,39,09:00,24
2025-03-05,0,0,Mukteswar Temple,Cloudy,39,12:00,30
2025-11-02,1,0,Rajarani Temple,Rainy,37,06:00,70
2025-07-07,0,0,Parsurameswara Temple,Cloudy,30,18:00,121
2025-12-13,1,0,Bindu Sagar,Humid,25,15:00,184
2025-07-19,1,0,Lingaraj Temple,Rainy,26,06:00,156
2025-06-03,0,0,Parsurameswara Temple,Clear,30,09:00,70
2025-03-28,0,0,Parsurameswara Temple,Clear,26,15:00,42
2025-09-16,0,0,Lingaraj Temple,Clear,33,09:00,67
2025-03-28,0,0,Parsurameswara Temple,Clear,23,15:00,26
2025-01-23,0,0,Parsurameswara Temple,Humid,30,12:00,30
2025-02-14,0,0,Rajarani Temple,Rainy,24,15:00,5
2025-11-18,0,0,Parsurameswara Temple,Clear,38,12:00,7
2025-01-24,0,0,Rajarani Temple,Clear,23,18:00,114
2025-12-23,0,0,Rajarani Temple,Cloudy,32,09:00,86
2025-09-08,0,0,Rajarani Temple,Clear,35,12:00,60
2025-07-07,0,0,Bindu Sagar,Humid,23,15:00,75
2025-07-13,1,1,Bindu Sagar,Rainy,30,18:00,469
2025-10-31,0,0,Lingaraj Temple,Rainy,33,18:00,53
2025-09-20,1,0,Mukteswar Temple,Humid,34,15:00,213
2025-09-16,0,0,Parsurameswara Temple,Humid,40,06:00,95
2025-04-24,0,0,Mukteswar Temple,Cloudy,38,18:00,112
2025-03-10,0,0,Parsurameswara Temple,Humid,28,15:00,51
2025-05-20,0,0,Lingaraj Temple,Rainy,25,15:00,36
2025-01-04,1,0,Lingaraj Temple,Humid,24,18:00,268
2025-10-02,0,0,Lingaraj Temple,Clear,23,15:00,47
2025-05-29,0,0,Rajarani Temple,Cloudy,33,15:00,76
2025-08-02,1,0,Parsurameswara Temple,Humid,28,15:00,221
2025-09-27,1,0,Lingaraj Temple,Cloudy,30,09:00,167
2025-01-25,1,0,Lingaraj Temple,Rainy,40,09:00,5
2025-02-25,0,0,Mukteswar Temple,Cloudy,32,12:00,50
2025-08-06,0,0,Lingaraj Temple,Rainy,36,12:00,19
2025-11-02,1,0,Lingaraj Temple,Humid,23,15:00,98
2025-10-05,1,0,Parsurameswara Temple,Rainy,29,15:00,84
2025-08-16,1,0,Rajarani Temple,Humid,35,15:00,180
2025-07-02,0,0,Mukteswar Temple,Cloudy,34,15:00,77
2025-03-24,0,0,Bindu Sagar,Clear,37,09:00,68
2025-02-21,0,0,Parsurameswara Temple,Clear,39,18:00,66
2025-07-25,0,1,Mukteswar Temple,Cloudy,30,18:00,355
2025-01-08,0,0,Parsurameswara Temple,Clear,34,09:00,32
2025-11-29,1,0,Bindu Sagar,Clear,29,12:00,160
2025-10-01,0,0,Bindu Sagar,Clear,28,18:00,95
2025-01-25,1,0,Rajarani Temple,Rainy,28,18:00,136
2025-04-17,0,0,Bindu Sagar,Clear,36,18:00,103
2025-01-31,0,0,Bindu Sagar,Rainy,25,12:00,5
2025-02-20,0,0,Bindu Sagar,Cloudy,26,18:00,68
2025-11-12,0,0,Mukteswar Temple,Humid,39,12:00,44
2025-06-02,0,0,Mukteswar Temple,Humid,35,15:00,57
2025-06-21,1,0,Parsurameswara Temple,Clear,40,15:00,92
2025-04-30,0,0,Parsurameswara Temple,Clear,30,09:00,67
2025-12-18,0,0,Rajarani Temple,Clear,40,06:00,139
2025-09-10,0,0,Parsurameswara Temple,Cloudy,28,18:00,70
2025-07-23,0,0,Rajarani Temple,Clear,38,12:00,5
2025-11-26,0,0,Mukteswar Temple,Clear,30,15:00,65
2025-06-06,0,0,Lingaraj Temple,Humid,27,09:00,74
2025-08-09,1,0,Lingaraj Temple,Humid,29,15:00,134
2025-08-20,0,0,Rajarani Temple,Humid,36,12:00,38
2025-01-19,1,0,Rajarani Temple,Rainy,29,15:00,139
2025-12-13,1,0,Mukteswar Temple,Rainy,34,12:00,125
2025-08-30,1,0,Parsurameswara Temple,Cloudy,32,12:00,122
2025-03-01,1,0,Lingaraj Temple,Cloudy,28,12:00,115
2025-09-09,0,0,Mukteswar Temple,Humid,22,15:00,91
2025-06-29,1,0,Mukteswar Temple,Humid,31,18:00,162
2025-09-24,0,0,Rajarani Temple,Humid,27,12:00,22
2025-03-22,1,0,Lingaraj Temple,Humid,22,18:00,170
2025-12-15,0,0,Rajarani Temple,Cloudy,33,12:00,22
2025-01-13,0,0,Bindu Sagar,Cloudy,40,12:00,47
2025-11-17,0,0,Parsurameswara Temple,Rainy,39,12:00,5
2025-11-05,0,0,Parsurameswara Temple,Rainy,25,12:00,5
2025-06-14,1,0,Mukteswar Temple,Rainy,26,12:00,73
2025-10-14,0,0,Mukteswar Temple,Cloudy,27,18:00,131
2025-01-05,1,0,Rajarani Temple,Clear,31,09:00,205
2025-04-15,0,0,Rajarani Temple,Humid,35,09:00,95
2025-01-30,0,0,Bindu Sagar,Cloudy,32,12:00,73
2025-10-02,0,0,Lingaraj Temple,Rainy,33,18:00,5
2025-07-28,0,0,Bindu Sagar,Humid,29,09:00,83
2025-05-29,0,0,Bindu Sagar,Clear,40,15:00,27
2025-08-08,0,0,Rajarani Temple,Cloudy,29,12:00,77
2025-11-17,0,0,Rajarani Temple,Cloudy,36,06:00,124
2025-04-01,0,0,Lingaraj Temple,Rainy,37,09:00,5
2025-12-13,1,0,Lingaraj Temple,Clear,22,15:00,178
2025-03-06,0,0,Mukteswar Temple,Humid,39,18:00,32
2025-05-05,0,0,Rajarani Temple,Clear,24,12:00,39
2025-05-08,0,0,Parsurameswara Temple,Cloudy,26,12:00,60
2025-04-16,0,0,Mukteswar Temple,Clear,38,18:00,92
2025-12-09,0,0,Parsurameswara Temple,Clear,29,06:00,156
2025-07-23,0,0,Rajarani Temple,Rainy,35,06:00,21
2025-11-13,0,0,Bindu Sagar,Cloudy,23,09:00,38
2025-09-10,0,0,Bindu Sagar,Rainy,22,06:00,12
2025-07-05,1,0,Parsurameswara Temple,Cloudy,26,12:00,125
2025-08-22,0,0,Rajarani Temple,Cloudy,37,12:00,5
2025-04-28,0,0,Lingaraj Temple,Rainy,23,18:00,59
2025-08-31,1,0,Mukteswar Temple,Cloudy,27,06:00,242
2025-01-26,1,0,Parsurameswara Temple,Humid,23,06:00,211
2025-05-08,0,0,Mukteswar Temple,Clear,34,09:00,84
2025-09-21,1,0,Mukteswar Temple,Clear,28,09:00,160
2025-03-31,0,0,Bindu Sagar,Rainy,24,06:00,43
2025-07-07,0,0,Lingaraj Temple,Humid,36,09:00,93
2025-07-02,0,0,Bindu Sagar,Rainy,40,09:00,5
2025-10-12,1,1,Lingaraj Temple,Clear,34,06:00,606
2025-03-30,1,0,Bindu Sagar,Rainy,39,09:00,96
2025-11-17,0,0,Lingaraj Temple,Rainy,32,15:00,5
2025-11-05,0,0,Mukteswar Temple,Rainy,36,12:00,5
2025-12-24,0,0,Lingaraj Temple,Clear,27,09:00,24
2025-09-09,0,0,Bindu Sagar,Humid,40,12:00,12
2025-07-12,1,0,Rajarani Temple,Clear,24,18:00,235
2025-05-13,0,0,Bindu Sagar,Cloudy,32,09:00,47
2025-07-31,0,0,Lingaraj Temple,Clear,29,12:00,56
2025-07-29,0,0,Rajarani Temple,Rainy,39,09:00,5
2025-03-30,1,0,Rajarani Temple,Clear,38,15:00,151
2025-11-05,0,0,Rajarani Temple,Humid,23,18:00,132
2025-04-10,0,0,Parsurameswara Temple,Humid,22,18:00,62
2025-06-09,0,1,Mukteswar Temple,Clear,29,15:00,449
2025-05-22,0,0,Rajarani Temple,Humid,36,12:00,49
2025-05-17,1,0,Rajarani Temple,Humid,25,09:00,121
2025-02-20,0,0,Rajarani Temple,Rainy,24,18:00,55
2025-07-29,0,0,Rajarani Temple,Rainy,29,18:00,70
2025-08-10,1,0,Rajarani Temple,Humid,32,06:00,280
2025-03-21,0,0,Parsurameswara Temple,Clear,34,06:00,120
2025-03-11,0,0,Lingaraj Temple,Cloudy,40,15:00,53
2025-02-15,1,0,Bindu Sagar,Clear,39,12:00,186
2025-11-26,0,0,Rajarani Temple,Cloudy,37,06:00,58
2025-08-30,1,0,Lingaraj Temple,Rainy,23,15:00,91
2025-02-26,0,0,Rajarani Temple,Cloudy,30,15:00,37
2025-11-14,0,0,Mukteswar Temple,Rainy,29,09:00,5
2025-01-19,1,0,Bindu Sagar,Humid,34,06:00,139
2025-07-21,0,0,Mukteswar Temple,Humid,39,12:00,32
2025-03-03,0,0,Lingaraj Temple,Cloudy,29,06:00,126
2025-02-06,0,0,Mukteswar Temple,Clear,27,12:00,40
2025-05-27,0,0,Mukteswar Temple,Clear,31,18:00,147
2025-12-06,1,0,Parsurameswara Temple,Clear,28,06:00,222
2025-09-19,0,0,Rajarani Temple,Rainy,26,09:00,5
2025-06-21,1,0,Rajarani Temple,Cloudy,36,09:00,155
2025-05-29,0,0,Lingaraj Temple,Humid,29,12:00,93
2025-12-17,0,0,Rajarani Temple,Humid,23,18:00,101
2025-01-10,0,0,Bindu Sagar,Humid,33,12:00,75
2025-11-20,0,0,Lingaraj Temple,Humid,40,12:00,5
2025-09-08,0,1,Lingaraj Temple,Clear,39,18:00,384
2025-05-12,0,0,Rajarani Temple,Clear,32,09:00,75
2025-06-04,0,1,Rajarani Temple,Cloudy,23,12:00,285
2025-08-02,1,0,Bindu Sagar,Humid,38,12:00,158
2025-11-24,0,1,Mukteswar Temple,Rainy,25,15:00,407
2025-04-08,0,0,Parsurameswara Temple,Humid,23,09:00,42
2025-08-14,0,0,Rajarani Temple,Rainy,35,18:00,77
2025-03-24,0,0,Rajarani Temple,Clear,29,15:00,22
2025-11-10,0,0,Lingaraj Temple,Humid,24,12:00,82
2025-01-09,0,0,Parsurameswara Temple,Cloudy,37,18:00,37
2025-05-17,1,0,Mukteswar Temple,Clear,28,15:00,161
2025-04-06,1,0,Parsurameswara Temple,Humid,26,06:00,167
2025-08-03,1,0,Parsurameswara Temple,Rainy,22,12:00,96
2025-01-10,0,0,Mukteswar Temple,Clear,40,18:00,80
2025-11-17,0,0,Mukteswar Temple,Humid,25,12:00,22
2025-02-06,0,0,Lingaraj Temple,Humid,40,12:00,5
2025-02-01,1,0,Lingaraj Temple,Clear,29,09:00,147
2025-12-31,0,1,Bindu Sagar,Rainy,31,15:00,335
2025-05-26,0,0,Parsurameswara Temple,Humid,25,12:00,58
2025-07-15,0,0,Lingaraj Temple,Cloudy,28,12:00,71
2025-12-30,0,0,Parsurameswara Temple,Cloudy,25,15:00,38
2025-03-19,0,0,Mukteswar Temple,Humid,26,06:00,107
2025-11-27,0,0,Lingaraj Temple,Clear,25,18:00,119
2025-01-31,0,0,Bindu Sagar,Rainy,28,09:00,5
2025-08-16,1,0,Parsurameswara Temple,Clear,26,15:00,213
2025-10-02,0,0,Rajarani Temple,Rainy,27,18:00,45
2025-03-09,1,0,Rajarani Temple,Cloudy,24,06:00,124
2025-02-26,0,0,Parsurameswara Temple,Cloudy,22,09:00,59
2025-05-21,0,0,Bindu Sagar,Humid,40,12:00,5
2025-11-17,0,0,Lingaraj Temple,Humid,38,12:00,33
2025-04-17,0,0,Bindu Sagar,Rainy,31,15:00,24
2025-01-05,1,0,Bindu Sagar,Cloudy,37,06:00,151
2025-12-30,0,0,Lingaraj Temple,Cloudy,39,18:00,111
2025-10-14,0,0,Parsurameswara Temple,Rainy,37,06:00,5
2025-11-23,1,0,Mukteswar Temple,Cloudy,33,15:00,92
2025-12-01,0,0,Bindu Sagar,Cloudy,25,06:00,128
2025-01-24,0,0,Rajarani Temple,Clear,23,15:00,57
2025-10-21,0,0,Rajarani Temple,Humid,35,15:00,82
2025-05-27,0,0,Bindu Sagar,Rainy,37,18:00,5
2025-06-21,1,0,Bindu Sagar,Rainy,26,12:00,124
2025-11-19,0,0,Bindu Sagar,Humid,27,12:00,40
2025-01-24,0,0,Parsurameswara Temple,Clear,26,09:00,78
2025-05-25,1,0,Rajarani Temple,Rainy,30,18:00,112
2025-06-11,0,0,Lingaraj Temple,Cloudy,32,18:00,166
2025-11-15,1,0,Mukteswar Temple,Clear,26,12:00,114
2025-09-08,0,0,Lingaraj Temple,Humid,33,06:00,71
2025-01-19,1,0,Parsurameswara Temple,Humid,30,06:00,157
2025-05-10,1,0,Mukteswar Temple,Cloudy,33,18:00,182
2025-12-24,0,0,Rajarani Temple,Rainy,28,15:00,5
2025-04-02,0,0,Lingaraj Temple,Cloudy,30,09:00,66
2025-07-15,0,0,Rajarani Temple,Rainy,28,18:00,96
2025-05-01,0,0,Mukteswar Temple,Rainy,34,09:00,8
2025-01-14,0,0,Bindu Sagar,Cloudy,27,18:00,103
2025-08-26,0,0,Lingaraj Temple,Humid,28,06:00,91
2025-11-01,1,0,Parsurameswara Temple,Rainy,38,15:00,82
2025-06-27,0,0,Mukteswar Temple,Humid,29,09:00,63
2025-02-26,0,0,Rajarani Temple,Cloudy,39,09:00,5
2025-05-20,0,0,Bindu Sagar,Clear,37,12:00,40
2025-10-26,1,0,Mukteswar Temple,Clear,34,06:00,203
2025-11-19,0,0,Mukteswar Temple,Cloudy,23,15:00,39
2025-12-04,0,0,Parsurameswara Temple,Humid,37,09:00,10
2025-01-21,0,0,Bindu Sagar,Humid,37,15:00,5
2025-06-24,0,0,Mukteswar Temple,Humid,30,06:00,89
2025-04-08,0,0,Rajarani Temple,Clear,39,09:00,39
2025-06-13,0,0,Mukteswar Temple,Cloudy,35,18:00,94
2025-12-23,0,0,Lingaraj Temple,Rainy,36,12:00,18
2025-05-09,0,0,Lingaraj Temple,Clear,32,12:00,28
2025-02-24,0,0,Parsurameswara Temple,Humid,34,09:00,30
2025-07-13,1,0,Lingaraj Temple,Humid,37,06:00,216
2025-03-28,0,0,Rajarani Temple,Rainy,24,12:00,6
2025-08-26,0,1,Bindu Sagar,Clear,27,12:00,410
2025-07-16,0,0,Parsurameswara Temple,Clear,34,15:00,40
2025-08-02,1,0,Bindu Sagar,Clear,39,09:00,118
2025-04-24,0,0,Rajarani Temple,Rainy,25,12:00,47
2025-12-31,0,0,Mukteswar Temple,Rainy,31,18:00,86
2025-06-01,1,0,Rajarani Temple,Rainy,39,06:00,141
2025-09-19,0,0,Mukteswar Temple,Rainy,22,15:00,11
2025-10-24,0,0,Rajarani Temple,Rainy,30,06:00,65
2025-01-31,0,0,Rajarani Temple,Rainy,25,15:00,24
2025-12-02,0,0,Bindu Sagar,Rainy,32,09:00,29
2025-02-03,0,0,Rajarani Temple,Cloudy,39,15:00,52
2025-02-26,0,0,Parsurameswara Temple,Cloudy,28,18:00,111
2025-03-03,0,1,Parsurameswara Temple,Humid,31,15:00,348
2025-09-08,0,0,Mukteswar Temple,Rainy,23,15:00,5
2025-07-23,0,0,Parsurameswara Temple,Clear,23,12:00,20
2025-09-23,0,0,Bindu Sagar,Clear,37,06:00,86
2025-08-25,0,0,Parsurameswara Temple,Humid,30,06:00,141
2025-05-07,0,1,Bindu Sagar,Clear,28,15:00,435
2025-04-13,1,0,Bindu Sagar,Cloudy,29,09:00,149
2025-01-30,0,0,Lingaraj Temple,Clear,34,15:00,89
2025-02-03,0,0,Bindu Sagar,Clear,39,12:00,54
2025-01-03,0,0,Bindu Sagar,Rainy,36,09:00,5
2025-11-19,0,0,Rajarani Temple,Clear,32,12:00,75
2025-08-01,0,0,Mukteswar Temple,Humid,24,18:00,67
2025-08-22,0,0,Mukteswar Temple,Clear,37,15:00,10
2025-03-10,0,0,Bindu Sagar,Humid,25,12:00,53
2025-11-24,0,0,Bindu Sagar,Cloudy,24,15:00,79
2025-12-26,0,0,Mukteswar Temple,Cloudy,24,06:00,95
2025-12-22,0,0,Parsurameswara Temple,Cloudy,33,06:00,132
2025-08-23,1,0,Parsurameswara Temple,Humid,40,18:00,233
2025-12-28,1,0,Rajarani Temple,Cloudy,27,09:00,188
2025-12-23,0,0,Rajarani Temple,Humid,24,12:00,26
2025-06-29,1,0,Mukteswar Temple,Cloudy,34,09:00,125
2025-07-17,0,0,Rajarani Temple,Rainy,23,09:00,5
2025-05-22,0,0,Bindu Sagar,Humid,33,18:00,154
2025-04-23,0,0,Bindu Sagar,Humid,27,09:00,26
2025-12-05,0,0,Mukteswar Temple,Clear,39,06:00,86
2025-06-15,1,0,Parsurameswara Temple,Cloudy,37,12:00,161
2025-03-02,1,0,Rajarani Temple,Clear,31,06:00,188
2025-11-25,0,0,Rajarani Temple,Clear,40,15:00,30
2025-09-01,0,0,Lingaraj Temple,Rainy,22,06:00,87
2025-07-14,0,0,Parsurameswara Temple,Humid,25,12:00,31
2025-03-28,0,0,Parsurameswara Temple,Clear,39,06:00,63
2025-07-16,0,0,Rajarani Temple,Rainy,37,18:00,5
2025-07-14,0,0,Mukteswar Temple,Rainy,38,18:00,38
2025-10-25,1,0,Bindu Sagar,Cloudy,23,12:00,179
2025-02-22,1,0,Rajarani Temple,Rainy,40,06:00,129
2025-11-27,0,0,Mukteswar Temple,Humid,27,06:00,128
2025-12-27,1,0,Mukteswar Temple,Cloudy,26,12:00,191
2025-07-03,0,0,Lingaraj Temple,Clear,26,12:00,94
2025-06-05,0,0,Parsurameswara Temple,Humid,23,18:00,162
2025-11-03,0,0,Rajarani Temple,Cloudy,29,09:00,98
2025-10-10,0,0,Bindu Sagar,Cloudy,22,06:00,112
2025-07-18,0,0,Lingaraj Temple,Rainy,35,09:00,20
2025-07-04,0,0,Parsurameswara Temple,Rainy,29,09:00,5
2025-12-08,0,0,Bindu Sagar,Rainy,36,15:00,5
2025-07-16,0,0,Mukteswar Temple,Clear,40,06:00,86
2025-10-15,0,0,Parsurameswara Temple,Clear,34,15:00,59
2025-10-01,0,0,Mukteswar Temple,Rainy,32,09:00,5
2025-03-19,0,0,Parsurameswara Temple,Humid,25,09:00,68
2025-01-20,0,0,Bindu Sagar,Humid,23,06:00,97
2025-05-09,0,0,Mukteswar Temple,Rainy,26,18:00,36
2025-10-04,1,0,Parsurameswara Temple,Rainy,22,15:00,171
2025-03-29,1,0,Rajarani Temple,Cloudy,36,12:00,131
2025-09-15,0,0,Mukteswar Temple,Humid,32,09:00,97
2025-09-03,0,0,Bindu Sagar,Clear,23,18:00,78
2025-12-22,0,0,Lingaraj Temple,Cloudy,29,15:00,82
2025-03-01,1,0,Lingaraj Temple,Clear,27,18:00,219
2025-01-07,0,0,Lingaraj Temple,Rainy,28,18:00,76
2025-08-08,0,0,Rajarani Temple,Humid,26,06:00,88
2025-04-26,1,0,Bindu Sagar,Clear,38,09:00,75
2025-01-20,0,0,Bindu Sagar,Humid,39,06:00,60
2025-02-21,0,0,Parsurameswara Temple,Rainy,36,18:00,5
2025-04-22,0,1,Mukteswar Temple,Cloudy,36,12:00,380
2025-05-01,0,0,Mukteswar Temple,Cloudy,24,18:00,110
2025-03-22,1,0,Mukteswar Temple,Rainy,30,18:00,241
2025-12-18,0,0,Lingaraj Temple,Cloudy,24,18:00,89
2025-05-31,1,0,Bindu Sagar,Rainy,26,12:00,95
2025-07-04,0,0,Mukteswar Temple,Humid,22,06:00,102
2025-03-14,0,0,Mukteswar Temple,Rainy,24,18:00,57
2025-12-14,1,0,Parsurameswara Temple,Cloudy,32,18:00,256
2025-10-26,1,0,Parsurameswara Temple,Rainy,26,09:00,111
2025-12-27,1,0,Rajarani Temple,Rainy,38,09:00,131
2025-05-19,0,0,Bindu Sagar,Humid,36,18:00,89
2025-09-11,0,0,Lingaraj Temple,Rainy,32,12:00,10
2025-12-03,0,0,Lingaraj Temple,Rainy,30,18:00,54
2025-08-13,0,1,Parsurameswara Temple,Cloudy,30,12:00,319
2025-09-21,1,0,Parsurameswara Temple,Rainy,35,09:00,131
2025-10-15,0,0,Bindu Sagar,Cloudy,32,06:00,173
2025-03-30,1,0,Parsurameswara Temple,Humid,34,09:00,162
2025-05-03,1,0,Bindu Sagar,Cloudy,37,12:00,128
2025-01-03,0,0,Mukteswar Temple,Humid,25,12:00,24
2025-02-17,0,0,Rajarani Temple,Humid,36,06:00,64
2025-10-18,1,0,Lingaraj Temple,Humid,30,18:00,144
2025-01-18,1,0,Rajarani Temple,Humid,25,09:00,152
2025-01-22,0,0,Rajarani Temple,Humid,25,06:00,117
2025-07-29,0,0,Lingaraj Temple,Cloudy,27,18:00,111
2025-04-25,0,0,Mukteswar Temple,Rainy,32,15:00,6
